,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
1857,0.229,2.126,0.395,0.131,,,,,,2.881
1858,0.237,2.301,0.409,0.138,,,,,,3.086
1859,0.242,2.455,0.431,0.115,,,,,,3.243
1860,0.248,2.654,0.453,0.094,,,,,,3.449
1861,0.251,2.707,0.475,0.14,,,,,,3.572
1862,0.255,2.778,0.502,0.094,,,,,,3.628
1863,0.261,2.866,0.524,0.133,,,,,,3.784
1864,0.268,2.97,0.551,0.112,,,,,,3.901
1865,0.275,3.077,0.575,0.142,,,,,,4.07
1866,0.282,3.174,0.6,0.061,,,,,,4.117
1867,0.287,3.261,0.629,0.148,,,,,,4.324
1868,0.294,3.367,0.654,0.134,,,,,,4.448
1869,0.301,3.473,0.682,0.143,,,,,,4.598
1870,0.305,3.556,0.714,0.203,,,,,,4.778
1871,0.297,3.503,0.759,0.234,,,,,,4.792
1872,0.305,3.615,0.791,0.238,,,,,,4.948
1873,0.313,3.73,0.826,0.293,,,,,,5.162
1874,0.321,3.875,0.859,0.301,,,,,,5.355
1875,0.331,4.03,0.893,0.279,,,,,,5.533
1876,0.338,4.18,0.936,0.314,,,,,,5.767
1877,0.346,4.331,0.981,0.349,,,,,,6.007
1878,0.356,4.488,1.037,0.477,,,,,,6.358
1879,0.363,4.659,1.074,0.613,,,,,,6.709
1880,0.373,4.843,1.121,0.927,,,,,,7.265
1881,0.383,4.968,1.172,0.843,,,,,,7.365
1882,0.388,5.098,1.224,0.956,,,,,,7.667
1883,0.402,5.259,1.276,1.127,,,,,,8.066
1884,0.414,5.441,1.33,1.22,,,,,,8.405
1885,0.425,5.593,1.386,1.355,,,,,,8.76
1886,0.434,5.738,1.44,1.366,,,,,,8.977
1887,0.447,5.889,1.292,1.433,,,,,,9.061
1888,0.456,6.039,1.354,1.64,,,,,,9.489
1889,0.468,6.178,1.397,1.586,,,,,,9.629
1890,0.474,6.314,1.449,1.665,,,,,,9.902
1891,0.485,6.395,1.828,1.843,,,,,,10.552
1892,0.487,6.465,1.659,1.894,,,,,,10.505
1893,0.491,6.519,1.693,1.845,,,,,,10.548
1894,0.499,6.571,1.698,1.999,,,,,,10.766
1895,0.503,6.622,1.732,1.443,,,,,,10.3
1896,0.513,6.67,1.974,2.1,,,,,,11.257
1897,0.517,6.72,1.965,2.305,,,,,,11.507
1898,0.529,6.76,1.96,2.559,,,,,,11.808
1899,0.535,6.79,1.944,3.679,0.036,,,,,12.983
1900,0.543,6.82,1.935,3.28,0.036,,,,,12.613
1901,0.55,6.878,1.92,3.706,0.073,,,,,13.127
1902,0.559,6.94,1.939,3.828,0.038,,,,,13.304
1903,0.572,6.994,1.852,3.754,0.056,,,,,13.227
1904,0.583,7.055,1.892,3.988,0.057,,,,,13.575
1905,0.594,7.125,1.953,4.098,0.061,,,,,13.831
1906,0.608,7.196,2.047,4.826,0.063,,,,,14.739
1907,0.62,7.269,2.153,5.111,0.074,,,,,15.226
1908,0.631,7.351,2.272,5.499,0.07,,,,,15.822
1909,0.647,7.446,2.342,4.924,0.098,,,,,15.456
1910,0.665,7.551,2.444,6.104,0.107,,,,,16.872
1911,0.681,7.191,2.602,6.5,0.12,,,,,17.094
1912,0.702,6.882,2.71,6.936,0.162,,,,,17.391
1913,0.723,6.585,2.826,7.167,0.14,,,,,17.441
1914,0.738,6.247,2.925,8.152,0.148,,,,,18.21
1915,0.743,5.856,2.926,7.343,0.16,,,,,17.029
1916,0.744,5.445,2.788,6.758,0.203,,,,,15.938
1917,0.744,5.067,2.86,7.064,0.213,,,,,15.949
1918,0.752,4.775,2.925,7.673,0.183,,,,,16.308
1919,0.777,4.566,2.927,7.184,0.23,,,,,15.685
1920,0.803,4.488,2.79,8.197,0.289,,,,,16.566
1921,0.82,4.327,2.772,7.307,0.364,,,,,15.59
1922,0.838,4.173,2.786,7.828,0.461,,0.011,,,16.097
1923,0.858,4.025,2.735,8.036,0.585,,0.013,,,16.251
1924,0.878,3.881,2.665,8.69,0.743,,0.015,,,16.872
1925,0.899,3.745,2.623,9.074,0.947,,0.016,,,17.305
1926,0.917,3.611,2.566,9.111,1.143,,0.026,,,17.373
1927,0.934,3.479,2.428,9.456,1.38,,0.035,,,17.711
1928,0.95,3.346,2.351,8.731,1.667,,0.042,,,17.086
1929,0.962,3.208,2.247,8.122,2.014,,0.048,,,16.6
1930,0.965,3.121,2.151,7.694,1.966,,0.064,,,15.96
1931,0.967,3.129,2.101,6.762,1.92,,0.063,,,14.941
1932,0.98,3.132,2.072,6.769,1.874,,0.062,,,14.889
1933,0.996,3.135,2.061,7.089,1.829,,0.081,,,15.192
1934,1.01,3.137,2.06,7.554,2.025,,0.084,,,15.87
1935,1.025,3.139,2.066,8.264,2.241,,0.09,,,16.825
1936,1.041,3.141,2.07,8.757,2.48,,0.097,,,17.586
1937,1.056,3.146,2.079,9.33,3.039,,0.106,,,18.755
1938,1.071,3.153,2.065,9.105,3.469,,0.122,,,18.984
1939,1.084,3.163,2.039,10.268,3.647,,0.137,,,20.338
1940,1.1,3.171,2.015,9.56,3.836,,0.137,,,19.819
1941,1.119,3.212,1.979,11.136,4.036,,0.167,,,21.649
1942,1.156,3.257,1.928,11.724,4.246,,0.176,,,22.487
1943,1.184,3.298,1.803,11.412,4.467,,0.192,,,22.356
1944,1.214,3.35,1.736,11.221,4.701,,0.202,,,22.423
1945,1.238,3.432,1.645,10.785,4.948,,0.216,,,22.264
1946,1.297,3.515,1.535,11.507,5.207,,0.222,,,23.284
1947,1.324,3.601,1.461,12.159,5.482,,0.232,,,24.259
1948,1.402,3.689,1.439,12.261,5.771,,0.244,,,24.805
1949,1.432,3.779,1.356,12.07,6.076,,0.267,,,24.98
1950,1.463,3.871,1.271,13.357,6.398,,0.286,,,26.646
1951,1.474,3.975,1.214,13.931,6.598,,0.282,,,27.472
1952,1.508,4.072,1.148,15.229,6.804,,0.321,,,29.083
1953,1.542,4.168,1.094,14.371,7.016,,0.328,,,28.519
1954,1.602,4.265,1.026,15.321,8.691,,0.388,,,31.292
1955,1.638,4.363,0.98,15.249,10.367,,0.405,,,33.002
1956,1.675,4.466,0.929,15.457,11.018,,0.446,,,33.99
1957,1.704,4.571,0.872,15.512,11.669,,0.469,,,34.797
1958,1.743,4.68,0.817,15.781,12.425,,0.53,,,35.976
1959,1.783,4.789,0.787,16.124,13.234,,0.521,,,37.238
1960,1.789,4.751,0.756,17.607,14.098,0.105,0.599,,,39.706
1961,1.827,4.691,0.689,18,15.192,0.106,0.678,,,41.183
1962,1.865,4.63,0.653,16.956,15.773,0.103,0.767,,,40.746
1963,1.905,4.571,0.64,18.188,18.001,0.111,0.948,,,44.364
1964,1.947,4.515,0.588,18.986,20.034,0.109,1.042,,,47.221
1965,1.966,4.465,0.572,19.587,20.119,0.114,2.102,,,48.925
1966,2.05,4.42,0.487,20.192,21.646,0.114,2.15,,,51.06
1967,2.068,4.379,0.519,20.568,23.586,0.111,2.172,,,53.404
1968,2.131,4.338,0.282,21.05,25.485,0.115,2.322,,,55.724
1969,2.184,4.292,0.417,21.758,26.199,0.386,2.444,,,57.681
1970,2.25,4.243,0.517,21.973,29.239,1.646,2.547,,,62.414
1971,2.313,4.198,0.255,21.89,30.689,2.418,2.779,,,64.542
1972,2.381,4.15,0.079,22.839,31.463,3.52,2.958,,,67.391
1973,2.35,4.099,0.071,23.906,33.518,4.444,3.157,,,71.545
1974,2.327,4.044,0.079,24.932,34.999,5.078,3.533,,,74.992
1975,2.42,3.987,0.231,25.591,34.421,5.462,3.668,,,75.78
1976,2.472,3.927,0.375,26.455,35.224,6.86,3.704,,,79.017
1977,2.471,3.862,0.485,27.481,36.68,8.297,3.521,,,82.796
1978,2.466,3.796,0.504,28.05,36.98,8.736,3.724,,,84.257
1979,2.486,3.732,0.54,29.119,37.444,9.419,3.917,,,86.658
1980,2.559,3.674,0.566,29.969,35.716,10.619,3.952,,,87.056
1981,2.607,3.629,0.556,30.707,35.03,11.621,4.018,,,88.167
1982,2.677,3.591,0.531,30.997,34.501,12.13,3.825,,,88.251
1983,2.665,3.558,0.565,31.113,30.993,13.167,3.88,,,85.939
1984,2.752,3.528,0.572,32.735,32.008,13.537,4.097,,,89.229
1985,2.831,3.497,0.565,33.726,31.945,14.965,4.072,,,91.6
1986,2.844,3.465,0.552,34.721,31.562,16.686,4.342,,,94.171
1987,2.914,3.434,0.449,35.914,32.569,16.833,4.287,,,96.399
1988,2.969,3.403,0.478,37.811,33.976,17.457,4.555,,,100.649
1989,3.03,3.373,0.461,39.703,35.284,18.789,4.71,,,105.35
1990,3.122,3.425,0.449,40.587,36.611,18.847,4.927,,,107.969
1991,3.114,3.635,0.436,41.32,35.365,18.578,5.037,,,107.484
1992,3.164,3.178,0.422,41.677,36.149,19.335,4.864,,,108.789
1993,3.139,3.369,0.395,41.917,36.967,19.751,5.189,,,110.728
1994,3.192,3.04,0.408,42.678,38.805,21.139,5.356,,,114.618
1995,3.29,3.27,0.373,44.129,42.13,21.071,5.5,,,119.765
1996,3.308,3.483,0.356,45.844,42.982,21.757,5.428,,,123.159
1997,3.379,3.583,0.35,48.193,43.91,21.763,5.193,,,126.371
1998,3.339,3.901,0.35,50.168,43.978,21.726,5.549,,,129.01
1999,3.382,3.841,0.325,50.457,44.906,22.82,5.475,,,131.207
2000,3.418,4.481,0.325,50.583,45.021,23.408,5.679,,0.055,132.97
2001,3.548,4.308,0.344,50.286,45.126,25.124,5.344,,0.067,134.147
2002,3.6,4.151,0.313,51.358,45.769,25.447,5.906,,0.068,136.612
2003,3.695,4.061,0.321,53.419,45.947,24.317,5.96,,0.063,137.783
2004,3.699,3.92,0.348,55.695,46.911,24.378,6.808,,0.047,141.805
2005,3.818,3.97,0.351,55.635,47.687,23.927,7.163,,0.052,142.602
2006,3.938,4.225,0.375,57.013,49.085,26.355,7.587,,0.081,148.658
2007,4.064,4.32,0.382,55.988,49.741,29.434,7.963,,0.116,152.008
2008,4.138,4.01,0.374,58.666,49.989,28.73,8.007,,0.154,154.069
2009,4.204,3.368,0.368,56.381,48.596,29.359,8.733,,0.143,151.152
2010,4.302,3.529,0.368,55.211,49.132,31.956,9.619,,0.201,154.318
2011,4.46,3.474,0.371,53.87,51.571,32.605,11.383,,0.243,157.977
2012,4.534,3.435,0.207,50.895,53.032,33.146,11.779,,0.235,157.262
2013,4.665,3.412,0.14,48.184,54.534,34.856,13.181,,0.281,159.252
2014,4.808,3.453,0.1,47.677,54.774,37.584,13.874,,0.322,162.591
2015,4.865,3.426,0.072,49.332,54.728,38.668,15.141,,0.236,166.469
2016,4.968,3.65,0.071,49.046,55.072,37.789,16.276,,0.205,167.077
2017,5.027,3.718,0.072,47.469,57.731,37.288,16.13,,0.183,167.618
2018,5.079,3.767,0.073,46.447,58.563,35.717,18.625,,0.152,168.423
2019,5.166,3.764,0.061,44.737,58.297,41.619,21.295,,0.141,175.081
2020,5.235,3.812,0.062,43.053,50.286,40.261,24.036,,0.145,166.89
