,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
1886,63.949,124.651,40.217,4.138,0.111,,,,,233.066
1887,64.306,125.24,40.383,4.477,0.106,,,,,234.512
1888,64.665,125.832,40.549,4.737,0.134,,,,,235.917
1889,65.026,126.427,40.716,5.072,0.194,,,,,237.435
1890,65.39,127.025,41.846,5.308,0.199,,,,,239.767
1891,65.813,127.71,46.548,5.853,0.216,,,,,246.14
1892,66.238,128.399,46.785,6.046,0.251,,,,,247.719
1893,66.667,129.092,47.024,6.169,0.42,,,,,249.372
1894,67.098,129.789,47.264,7.113,0.331,,,,,251.595
1895,67.532,130.489,47.003,7.765,0.454,,,,,253.244
1896,67.969,131.193,47.749,8.385,0.502,,,,,255.798
1897,68.409,131.901,47.993,8.667,0.751,,,,,257.721
1898,68.851,132.613,48.239,10.132,0.798,,,,,260.633
1899,69.297,133.328,48.487,10.471,0.68,,,,,262.263
1900,69.745,134.048,50.251,11.647,0.866,,,,,266.558
1901,70.306,134.994,51.957,13.125,1.277,,,,,271.658
1902,70.871,135.947,52.309,14.133,1.046,,,,,274.306
1903,71.441,136.907,52.664,14.504,1.611,,,,,277.127
1904,72.015,137.873,53.022,15.852,1.926,,,,,280.689
1905,72.594,138.846,53.383,16.363,2.142,,,,,283.328
1906,73.178,139.826,53.746,18.278,2.32,,,,,287.348
1907,73.766,140.813,54.111,20.039,2.596,,,,,291.325
1908,74.359,141.807,54.48,22.357,2.761,,,,,295.764
1909,74.957,142.808,54.851,22.997,3.144,,,,,298.757
1910,75.559,143.816,58.909,23.815,2.638,,,,,304.737
1911,76.167,144.603,58.692,26.405,2.911,,,,,308.777
1912,76.779,145.394,59.077,31.583,2.54,,,,,315.373
1913,77.407,146.19,62.617,36.139,2.764,,,,,325.117
1914,77.94,146.966,63.022,37.98,2.822,,,,,328.729
1915,78.475,147.747,66.625,36.565,2.774,,0.13,,,332.317
1916,79.015,148.531,67.058,40.459,2.946,,0.166,,,338.175
1917,79.558,149.32,70.737,44.428,2.847,,0.193,,,347.083
1918,80.105,150.113,71.199,48.003,2.848,,0.229,,,352.498
1919,80.656,150.91,71.666,56.086,2.997,,0.271,,,362.585
1920,81.21,151.714,74.199,49.968,3.124,,0.296,,,360.512
1921,81.934,152.909,76.108,48.106,3.243,0.076,0.328,,,362.705
1922,82.665,154.113,76.776,49.363,3.331,0.112,0.373,,,366.734
1923,83.402,155.327,77.45,53.512,3.675,0.207,0.408,,,373.981
1924,84.145,156.551,78.131,56.943,3.974,0.254,0.443,,,380.441
1925,84.896,157.784,78.817,57.828,4.564,0.355,0.609,,,384.854
1926,85.653,159.027,79.51,56.991,4.3,0.304,0.705,,,386.49
1927,86.416,160.28,80.209,51.953,5.259,0.313,0.923,,,385.352
1928,87.187,161.542,80.914,61.543,5.351,0.41,1.076,,,398.023
1929,88.49,162.815,81.626,62.929,5.906,0.459,1.312,,,403.536
1930,89.284,164.098,83.044,62.003,6.602,0.464,1.344,,,406.839
1931,90.086,165.172,83.07,58.027,6.78,0.705,1.448,,,405.287
1932,90.895,166.252,83.793,55.727,6.937,0.739,1.489,,,405.832
1933,88.716,167.339,89.571,62.889,6.076,0.844,1.656,,,417.091
1934,91.451,168.434,85.26,67.076,6.978,0.898,1.732,,,421.829
1935,92.277,169.535,86.004,72.909,7.806,0.908,1.774,,,431.214
1936,93.11,170.644,86.755,76.78,3.816,0.872,2.022,,,434
1937,93.95,171.76,83.605,78.806,5.064,0.947,2.26,,,436.392
1938,94.798,172.884,84.381,81.683,4.969,1.013,2.368,,,442.096
1939,95.653,174.015,85.118,88.37,5.397,1.039,2.521,,,452.112
1940,96.517,175.159,85.86,99.329,4.23,1.072,2.454,,,464.621
1941,97.606,177.01,86.804,107.067,3.814,0.045,2.523,,,474.869
1942,98.708,178.88,87.759,108.221,4.047,0.044,3.061,,,480.721
1943,99.823,180.77,88.725,101.878,3.55,0.042,2.824,,,477.612
1944,100.949,182.679,89.702,100.173,4.196,0.041,3.116,,,480.857
1945,102.028,184.502,96.752,64.295,4.81,0.04,3.268,,,455.694
1946,103.119,186.342,96.833,49.511,4.591,0.039,2.435,,,442.87
1947,104.192,188.201,109.906,61.85,5.535,0.071,3.546,,,473.301
1948,105.271,188.225,110.045,66.367,5.757,0.464,3.725,,,479.854
1949,106.316,190.091,107.463,80.76,5.911,0.716,4.159,,,495.416
1950,107.459,192.006,110.222,86.315,9.097,0.75,4.546,,,510.394
1951,109.657,194.209,126.475,99.501,13.009,0.946,4.768,,,548.565
1952,111.999,197.904,128.154,110.549,13.462,1.263,4.801,,,568.133
1953,114.425,201.446,128.883,124.081,17.441,1.605,5.084,,,592.965
1954,116.634,203.064,129.586,128.989,20.103,1.868,5.533,,,605.777
1955,118.812,206.581,130.316,138.738,24.798,2.364,5.97,,,627.578
1956,121.035,215.998,134.971,154.549,29.191,2.674,6.448,,,664.865
1957,118.873,219.788,130.962,176.389,34.604,2.991,6.979,,,690.586
1958,121.17,223.728,129.233,183.808,36.948,3.111,7.676,,,705.674
1959,123.538,227.818,129.972,185.829,46.874,3.495,8.659,,,726.186
1960,121.351,231.558,142.726,200.017,60.761,2.638,9.302,,,768.352
1961,124.497,234.658,140.252,213.701,78.039,3.217,9.304,,,803.669
1962,131.027,237.915,129.798,221.802,89.98,3.853,10.665,,,825.038
1963,134.104,241.4,133.989,225.56,108.185,4.625,10.61,,,858.473
1964,138.516,245.177,134.808,226.959,128.222,4.933,12.099,,,890.712
1965,141.461,249.289,131.885,235.05,149.179,5.059,13.028,,,924.951
1966,145.273,253.759,137.514,248.027,169.719,5.44,14.307,0.126,,974.164
1967,148.423,258.535,138.694,239.066,198.812,5.63,13.107,0.288,,"1,002.55"
1968,152.382,263.522,139.828,241.884,228.629,6.031,13.992,0.245,,"1,046.51"
1969,159.352,268.591,141.216,276.161,271.509,6.782,15.172,0.564,,"1,139.35"
1970,163.545,273.659,143.151,313.06,319.13,8.556,15.351,1.567,,"1,238.02"
1971,168.08,277.36,148.513,336.873,359.681,9.843,17.032,2.739,,"1,320.12"
1972,172.402,280.952,146.542,350.823,388.366,11.044,17.833,3.293,,"1,371.26"
1973,177.098,284.392,147.583,356.798,446.58,13.277,16.977,3.884,,"1,446.59"
1974,177.578,287.657,148.59,364.391,443.463,17.431,18.534,6.914,,"1,464.56"
1975,192.011,290.723,141.205,394.66,437.822,21.838,19.66,8.099,,"1,506.02"
1976,196.418,293.575,139.966,402.677,465.215,25.231,20.314,13.395,,"1,556.79"
1977,192.304,296.232,143.47,430.328,485.281,32.607,19.643,10.22,,"1,610.09"
1978,196.54,298.767,143.964,453.136,509.89,42.658,20.186,18.511,,"1,683.65"
1979,213.096,301.268,143.014,473.131,520.164,49.703,22.365,21.94,,"1,744.68"
1980,214.975,303.919,132.264,500.872,484.987,51.929,24.947,29.07,,"1,742.96"
1981,219.909,307.983,135.782,516.801,468.356,51.187,27.285,30.141,,"1,757.44"
1982,225.333,312.072,133.1,535.911,453.63,53.203,30.142,37.014,,"1,780.41"
1983,230.626,316.343,135.248,565.385,458.299,59.704,33.037,38.33,,"1,836.97"
1984,240.021,320.719,130.156,615.718,478.63,73.788,32.951,44.894,,"1,936.88"
1985,241.403,325.281,130.902,667.596,471.195,80.681,35.487,53.798,,"2,006.34"
1986,247.591,330.051,131.779,693.722,486.067,88.118,35.883,59.07,,"2,072.28"
1987,255.706,334.983,135.018,751.667,501.161,92.329,36.198,67.198,,"2,174.26"
1988,262.32,339.954,135.912,809.416,541.676,98.741,39.538,62.602,,"2,290.16"
1989,270.032,344.797,136.779,852.438,571.435,106.027,43.676,66.06,,"2,391.24"
1990,267.891,349.809,138.165,877.561,597.776,113.465,42.497,70.126,,"2,457.29"
1991,268.569,352.781,138.875,918.836,619.605,126.489,44.132,74.612,,"2,543.90"
1992,276.23,355.42,147.636,959.669,655.776,134.226,43.178,78.09,,"2,650.22"
1993,285.245,357.791,147.968,"1,015.09",675.79,138.587,47.323,89.333,,"2,757.13"
1994,295.405,359.89,148.46,"1,075.35",710.775,150.081,49.006,97.296,,"2,886.26"
1995,306.985,362.06,148.723,"1,101.08",749.99,156.9,54.64,107.451,,"2,987.83"
1996,312.674,363.979,149.245,"1,149.86",788.11,169.345,53.697,111.622,,"3,098.53"
1997,318.343,365.996,132.288,"1,145.89",821.797,183.29,56.507,120.608,,"3,144.72"
1998,324.968,367.622,132.803,"1,138.84",810.752,188.499,61.009,122.796,,"3,147.29"
1999,329.375,369.39,133.255,"1,171.13",848.603,201.315,61.111,120.223,,"3,234.40"
2000,336.165,370.972,131.128,"1,206.62",878.688,217.021,64.376,122.619,0.116,"3,327.70"
2001,339.625,371.4,131.647,"1,261.82",877.551,227.038,70.947,124.469,0.119,"3,404.62"
2002,344.345,370.572,132.519,"1,367.27",908.014,235.766,72.529,125.214,1.143,"3,557.37"
2003,348.867,369.73,132.936,"1,581.15",960.83,258.233,74.5,101.764,1.408,"3,829.42"
2004,354.974,368.634,133.47,"1,797.14","1,028.33",264.055,86.916,123.211,1.617,"4,158.35"
2005,360.883,367.458,125.875,"2,068.34","1,031.55",285.922,95.66,127.06,1.968,"4,464.72"
2006,366.417,365.968,126.418,"2,242.84","1,053.19",308.211,107.529,131.846,2.51,"4,704.93"
2007,375.346,364.899,133.676,"2,446.66","1,084.51",334.387,117.028,125.419,2.754,"4,984.68"
2008,383.586,363.689,134.183,"2,502.99","1,087.12",361.604,141.326,117.196,3.669,"5,095.37"
2009,378.439,362.534,133.238,"2,602.55","1,089.66",373.181,149.555,130.864,4.294,"5,224.32"
2010,386.095,320.608,123.296,"2,701.50","1,160.69",412.651,174.935,135.033,4.916,"5,419.73"
2011,392.821,320.486,123.807,"2,911.35","1,202.10",454.692,191.446,97.711,5.569,"5,699.99"
2012,398.736,319.961,124.327,"2,991.01","1,269.10",486.769,227.178,51.597,6.648,"5,875.33"
2013,403.213,302.384,124.847,"3,083.01","1,289.94",506.675,265.024,55.467,8.172,"6,038.74"
2014,409.297,301.838,125.355,"3,115.58","1,308.82",526.019,307.815,58.194,10.279,"6,163.20"
2015,415.545,301.08,124.489,"3,092.87","1,366.21",530.649,345.573,71.688,8.73,"6,256.83"
2016,417.744,298.58,123.387,"3,089.44","1,414.74",544.23,397.426,89.487,11.418,"6,386.45"
2017,423.167,289.044,124.511,"3,132.30","1,462.69",579.661,465.816,104.217,10.871,"6,592.28"
2018,428.377,291.143,125.544,"3,197.52","1,497.16",629.271,541.835,126.29,13.632,"6,850.77"
2019,437.605,284.669,118.38,"3,233.89","1,525.34",649.145,609.636,151.015,17.588,"7,027.27"
2020,440.864,286.709,119.331,"3,211.05","1,471.50",655.411,671.854,148.724,17.549,"7,022.99"
