,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
1861,7.007,22.285,7.285,,,,,,,36.576
1862,7.039,22.306,7.315,,,,,,,36.66
1863,7.072,22.328,7.344,,,,,,,36.744
1864,7.105,22.35,7.374,,,,,,,36.828
1865,7.138,22.371,7.404,,,,,,,36.913
1866,7.171,22.393,7.434,,,,,,,36.998
1867,7.204,22.415,7.464,,,,,,,37.083
1868,7.238,22.437,7.495,,,,,,,37.169
1869,7.271,22.458,7.525,,,,,,,37.255
1870,7.306,22.481,7.556,,,,,,,37.343
1871,7.361,22.679,7.606,,,,,,,37.646
1872,7.416,22.879,7.657,,,,,,,37.952
1873,7.472,23.081,7.709,,,,,,,38.261
1874,7.528,23.284,7.76,,,,,,,38.572
1875,7.585,23.489,7.812,,,,,,,38.886
1876,7.642,23.696,7.865,,,,,,,39.202
1877,7.699,23.904,7.918,,,,,,,39.521
1878,7.757,24.115,7.971,,,,,,,39.843
1879,7.815,24.327,8.024,,,,,,,40.167
1880,7.874,24.542,8.078,,,,,,,40.494
1881,7.933,24.69,8.132,,,,,,,40.755
1882,7.993,24.838,8.187,,,,,,,41.018
1883,8.053,24.987,8.242,,,,,,,41.282
1884,8.114,25.137,8.297,,,,,,,41.548
1885,8.175,25.289,8.353,,,,,,,41.816
1886,8.236,25.44,8.409,,,,,,,42.086
1887,8.298,25.593,8.465,,,,,,,42.357
1888,8.361,25.747,8.523,,,,,,,42.631
1889,8.424,25.902,8.481,0.011,,,,,,42.818
1890,8.487,26.058,8.687,0.035,,,,,,43.267
1891,8.551,26.228,8.771,0.039,,,,,,43.588
1892,8.615,26.399,8.936,0.062,,,,,,44.012
1893,8.68,26.571,8.66,0.594,,,,,,44.505
1894,8.745,26.745,8.47,0.801,,,,,,44.761
1895,8.811,26.92,8.389,1.096,,,,,,45.215
1896,8.877,27.095,8.294,1.398,,,,,,45.664
1897,8.944,27.272,7.745,1.563,,,,,,45.525
1898,9.011,27.45,7.94,1.974,,,,,,46.376
1899,9.079,27.63,7.924,1.797,,,,,,46.43
1900,9.147,27.81,7.908,0.756,,,,,,45.622
1901,9.245,28.1,8.208,1.273,,,,,,46.826
1902,9.344,28.393,8.532,1.892,,,,,,48.161
1903,9.444,28.689,8.719,2.565,,,,,,49.416
1904,9.545,28.987,8.628,2.877,,,,,,50.037
1905,9.647,29.289,8.567,3.296,,,,,,50.8
1906,9.75,29.595,8.645,3.711,,,,,,51.702
1907,9.855,29.903,8.968,4.126,,,,,,52.852
1908,9.96,30.214,8.98,4.277,,,,,,53.432
1909,10.067,30.529,9.087,4.905,,,,,,54.588
1910,10.174,30.847,9.03,5.547,0.073,,,,,55.671
1911,10.283,31.14,11.249,5.92,0.094,,,,,58.686
1912,10.393,31.435,8.892,6.298,0.176,,,,,57.193
1913,10.506,31.733,7.937,6.812,0.14,,,,,57.127
1914,10.677,32.24,6.266,6.665,0.381,,,,,56.229
1915,10.851,32.755,5.988,6.584,0.187,,,,,56.365
1916,11.028,33.278,6.002,8.006,0.383,,,,,58.697
1917,11.208,33.809,5.979,8.529,0.63,,,,,60.155
1918,11.391,34.349,8.714,8.387,1.002,,,,,63.843
1919,11.577,34.898,9.507,8.688,0.827,,,,,65.497
1920,11.766,35.455,9.165,10.172,0.628,,,,,67.186
1921,11.958,36.013,9.775,10.162,0.701,,,,,68.608
1922,12.153,36.58,10.012,8.824,0.714,,,,,68.284
1923,12.351,37.156,10.02,10.679,0.68,,,,,70.887
1924,12.553,37.741,10.246,11.724,0.861,,,,,73.125
1925,12.757,38.336,10.26,13.938,1.045,,0.004,,,76.341
1926,12.966,38.939,10.458,14.899,1.293,,0.004,,,78.559
1927,13.177,39.552,6.828,14.875,1.521,,0.004,,,75.956
1928,13.392,40.175,6.905,15.304,1.864,,0.004,,,77.643
1929,13.611,40.807,7.244,16.232,2.314,,0.008,,,80.216
1930,13.833,41.45,10.769,15.1,2.363,,0.009,,,83.523
1931,14.058,42.112,7.119,13.369,2.394,,0.01,,,79.062
1932,14.288,42.785,7.338,12.269,2.467,,0.012,,,79.16
1933,14.521,43.469,7.29,13.928,2.653,,0.019,,,81.88
1934,14.758,44.163,7.399,15.658,2.85,,0.031,,,84.859
1935,14.999,44.869,7.592,17.18,3.099,,0.03,,,87.768
1936,15.243,45.586,7.706,18.61,3.433,,0.031,,,90.609
1937,15.492,46.314,11.252,19.9,3.883,,0.043,,,96.883
1938,15.745,47.054,8.801,21.396,4.229,,0.045,,,97.27
1939,16.002,47.806,8.373,21.821,4.919,,0.052,,,98.972
1940,16.263,48.569,8.356,22.412,6.441,,0.061,,,102.103
1941,16.529,49.326,8.514,23.643,6.547,,0.066,,,104.624
1942,16.799,50.095,8.675,25.531,7.657,,0.068,,,108.824
1943,17.073,50.876,8.967,25.891,7.022,,0.053,,,109.883
1944,17.351,51.669,8.791,28.486,6.988,,0.066,,,113.35
1945,17.643,52.5,11.282,28.758,7.732,,0.084,,,117.999
1946,17.94,53.344,7.848,28.879,8.563,0.12,0.019,,,116.713
1947,18.396,54.202,8.009,29.009,9.494,0.12,0.02,,,119.251
1948,18.707,55.074,12.292,29.465,10.535,0.124,0.017,,,126.214
1949,19.022,55.96,9.897,31.185,11.703,0.126,0.024,,,127.917
1950,19.343,56.86,12.957,32.9,13.252,0.131,0.153,,,135.597
1951,19.822,57.78,8.519,33.179,13.926,0.14,0.171,,,133.537
1952,20.263,58.75,8.546,34.978,14.681,0.142,0.186,,,137.546
1953,20.723,59.766,8.57,35.681,15.541,0.154,0.246,,,140.68
1954,21.223,60.83,9.83,36.778,17.229,0.17,0.284,,,146.344
1955,21.718,61.941,8.697,40.509,18.909,0.174,0.32,,,152.269
1956,22.246,63.099,12.356,42.475,18.757,0.191,0.371,,,159.495
1957,22.787,64.304,18.077,48.035,18.61,0.192,0.492,,,172.496
1958,23.32,65.555,13.868,50.353,20.138,0.205,0.536,,,173.974
1959,23.941,66.853,12.883,49.498,21.831,0.237,0.641,,,175.884
1960,24.562,67.157,14.949,51.67,23.71,0.253,0.862,,,183.164
1961,25.291,67.483,14.637,51.82,24.492,0.409,1.167,,,185.3
1962,25.891,67.829,14.051,52.722,26.049,0.657,1.39,,,188.589
1963,26.767,68.193,12.247,54.234,27.295,0.885,1.479,,,191.101
1964,27.543,68.575,13.189,58.231,32.915,1.644,1.666,,,203.763
1965,28.463,68.973,14.877,63.264,36.032,1.353,1.784,,,214.746
1966,29.04,69.387,14.884,62.239,39.281,1.535,2.098,,,218.465
1967,29.734,69.818,14.913,63.236,38.586,1.494,2.071,,,219.853
1968,30.633,70.262,15.407,65.928,41.279,1.563,2.421,,,227.493
1969,31.563,70.717,13.072,66.719,40.993,1.805,2.749,,,227.618
1970,32.575,71.181,15.99,68.988,46.219,1.827,3.061,,,239.841
1971,33.53,71.654,16.354,73.194,49.768,3.695,3.345,,,251.54
1972,34.362,72.136,16.365,73.593,54.612,4.285,3.519,,,258.871
1973,35.495,72.635,16.527,78.562,57.902,4.998,3.692,,,269.811
1974,36.644,73.16,16.826,82.02,61.001,5.829,3.961,,,279.44
1975,37.819,73.717,17.001,87.505,65.832,7.271,4.263,,,293.407
1976,38.963,74.304,16.617,91.989,71.703,8.573,4.75,,,306.9
1977,40.292,74.919,16.631,94.598,76.193,9.36,4.824,,,316.817
1978,41.676,75.559,16.822,92.116,80.708,13.382,5.121,,,325.384
1979,43.251,76.219,17.176,98.038,86.161,18.646,5.107,,,344.598
1980,44.949,76.896,16.626,91.023,94.184,26.912,5.516,,,356.106
1981,46.575,77.586,15.975,99.947,104.533,34.425,5.678,,,384.72
1982,48.279,78.288,16.736,107.256,110.968,35.574,5.543,,,402.645
1983,49.375,78.998,17.508,110.056,115.701,41.217,5.316,,,418.17
1984,50.773,79.71,17.182,112.74,121.87,41.322,5.404,2.053,,431.055
1985,52.516,80.421,18.131,116.724,124.238,44.362,5.413,2.786,,444.591
1986,54.007,81.128,18.645,119.511,122.957,49.064,5.783,4.622,,455.717
1987,55.9,81.828,18.17,123.502,127.601,51.157,5.395,3.241,,466.792
1988,57.6,82.516,18.108,132.525,133.984,54.951,5.78,5.514,,490.978
1989,58.969,83.187,18.631,124.404,139.316,57.119,5.885,5.829,,493.341
1990,60.916,85.468,19.328,127.455,142.778,58.068,5.875,4.425,,504.312
1991,61.825,87.201,19.611,125.32,144.24,58.716,6.238,4.776,,507.927
1992,63.84,89.771,19.772,125.49,144.933,62.269,6.07,4.846,,516.992
1993,65.937,92.585,19.007,126.391,145.731,62.859,5.653,3.789,,521.951
1994,67.818,98.429,18.198,130.447,147.535,65.74,5.887,5.08,,539.134
1995,70.342,101.134,18.358,134.772,155.86,69.176,6.026,5.932,,561.601
1996,72.499,102.408,18.407,137.429,160.127,72.26,6.404,6.193,,575.729
1997,74.817,103.237,18.818,140.088,164.699,73.074,6.64,6.664,,588.036
1998,77.295,105.05,19.24,137.312,166.594,75.645,6.792,7.186,,595.114
1999,79.364,107.218,19.535,143.695,169.226,79.289,7.065,6.799,,612.191
2000,81.07,107.89,19.756,144.103,170.185,84.281,7.444,6.917,,621.644
2001,83.819,110.806,20.581,145.963,169.711,92.992,7.782,5.716,,637.37
2002,86.082,112.477,21.869,140.064,174.881,96.312,8.368,6.412,,646.465
2003,88.313,116.212,21.843,153.652,179.144,105.965,8.367,6.448,,679.943
2004,90.853,118.814,21.958,168.037,182.213,113.85,8.808,6.824,,711.356
2005,93.995,121.709,22.299,157.097,195.996,121.223,8.977,5.791,,727.087
2006,97.202,124.533,22.017,160.537,196.564,130.631,9.387,6.06,,746.932
2007,99.783,123.488,23.113,163.532,201.018,132.877,10.071,5.84,,759.72
2008,102.876,126.334,23.587,181.217,212.125,144.391,9.596,6.731,0.006,806.862
2009,105.291,130.139,24.007,180.428,215.4,133.768,9.816,6.647,0.005,805.503
2010,109.094,133.187,24.278,179.221,233.136,140.241,11.111,6.297,0.006,836.572
2011,112.827,136.914,24.344,175.713,219.272,166.068,12.283,7.044,0.009,854.474
2012,114.516,134.446,24.448,172.796,232.361,178.162,12.314,6.256,0.007,875.306
2013,117.946,138.822,24.523,172.966,251.833,184.638,13.112,7.398,0.01,911.247
2014,120.626,140.962,24.601,177.445,261.331,189.391,15.209,7.249,0.012,936.828
2015,123.119,142.362,24.772,169.522,266.089,190.679,17.928,6.216,0.015,940.701
2016,125.64,132.614,24.856,181.658,267.343,197.341,19.99,7.599,0.017,957.058
2017,128.312,136.186,25.483,179.811,264.229,207.423,22.294,7.147,0.017,970.901
2018,131.374,139.617,26.118,175.306,264.681,223.056,24.546,5.807,0.017,990.521
2019,132.24,143.099,26.608,182.833,267.287,224.376,28.016,6.804,0.017,"1,011.28"
2020,135.364,146.631,27.264,173.933,246.785,222.568,30.994,7.771,0.017,991.327
