,Food,Fuelwood,Fodder,Coal,Oil,Gas,Electricity,Nuclear,Biofuels,Total
1903,5.603,14.241,5.092,4.794,0.117,,0.01,,,29.858
1904,5.708,14.649,6.072,5.056,0.126,,0.011,,,31.622
1905,5.824,15.09,6.394,5.74,0.165,,0.013,,,33.226
1906,5.95,15.568,6.806,6.629,0.226,,0.014,,,35.193
1907,6.086,16.076,7.266,7.363,0.319,,0.023,,,37.133
1908,6.208,16.557,7.751,7.253,0.795,,0.045,,,38.609
1909,6.349,17.096,8.306,7.299,0.622,,0.06,,,39.733
1910,6.496,17.669,8.576,8.017,0.781,,0.077,,,41.617
1911,6.636,18.033,9.612,8.941,2.073,,0.088,,,45.381
1912,6.791,18.438,11.027,8.888,1.517,,0.112,,,46.772
1913,6.915,18.751,11.164,8.884,0.928,,0.125,,,46.767
1914,7.005,18.994,11.022,7.639,0.785,,0.145,,,45.589
1915,7.075,19.178,10.881,5.62,1.64,,0.148,,,44.542
1916,7.133,19.333,9.949,5.271,2.694,,0.149,,,44.53
1917,7.238,19.615,9.937,4.976,2.176,,0.155,,,44.097
1918,7.366,19.958,10.155,4.816,2.609,,0.157,,,45.061
1919,7.503,20.325,10.369,4.83,2.424,,0.166,,,45.617
1920,7.622,20.642,10.011,5.803,3.096,,0.176,,,47.35
1921,7.771,21.064,9.666,4.743,3.43,,0.183,,,46.857
1922,7.926,21.505,9.372,5.001,2.763,0.055,0.193,,,46.816
1923,8.096,21.983,9.475,5.901,2.716,0.084,0.213,,,48.467
1924,8.268,22.47,9.511,6.75,3.017,0.112,0.241,,,50.369
1925,8.432,22.937,9.596,6.443,5.494,0.52,0.259,,,53.682
1926,8.61,23.44,10.114,6.215,7.003,0.58,0.295,,,56.256
1927,8.788,23.946,10.656,6.87,7.175,0.643,0.325,,,58.403
1928,8.951,24.414,11.203,6.37,8.68,0.709,0.349,,,60.677
1929,9.194,25.103,11.879,6.474,8.636,0.778,0.38,,,62.444
1930,9.318,25.464,12.424,6.4,7.284,0.846,0.398,,,62.134
1931,9.531,25.954,12.712,5.242,6.278,0.918,0.39,,,61.025
1932,9.709,26.349,12.94,4.785,5.289,1.439,0.382,,,60.892
1933,9.889,26.749,13.154,5.415,5.66,1.539,0.418,,,62.823
1934,10.074,27.158,13.385,5.666,6.149,1.673,0.455,,,64.559
1935,10.264,27.576,13.606,6.081,6.928,2.04,0.462,,,66.957
1936,10.459,28.007,13.85,6.458,8.153,2.134,0.507,,,69.567
1937,10.658,28.448,13.626,6.927,10.786,2.084,0.547,,,73.076
1938,10.86,28.892,13.913,6.736,11.373,2.7,0.609,,,75.083
1939,11.078,29.374,13.253,5.986,12.05,3.221,0.594,,,75.555
1940,11.278,29.808,13.374,5.812,12.761,3.313,0.62,,,76.966
1941,11.535,30.508,13.103,5.116,12.594,3.024,0.657,,,76.537
1942,11.793,31.213,12.934,4.601,11.971,2.785,0.723,,,76.021
1943,12.083,31.997,12.813,4.847,11.857,2.543,0.774,,,76.915
1944,12.34,32.705,12.488,4.807,13.018,2.915,0.81,,,79.081
1945,12.693,33.668,12.863,4.885,13.952,3.061,0.914,,,82.036
1946,13.058,34.659,12.977,5.339,17.996,3.204,0.973,,,88.204
1947,13.432,35.679,11.972,5.963,20.898,3.732,1.067,,,92.743
1948,13.821,36.729,11.998,6.246,23.647,3.57,1.211,,,97.222
1949,14.219,37.81,11.867,5.841,25.345,3.883,1.305,,,100.27
1950,14.659,38.924,11.876,6.26,32.001,4.722,1.366,,,109.808
1951,15.077,39.443,11.312,6.345,36.662,4.538,1.498,,,114.875
1952,15.492,39.976,11.785,6.372,38.159,4.738,1.689,,,118.211
1953,15.921,40.517,11.781,6.272,38.209,5.195,1.793,,,119.689
1954,16.521,41.065,11.324,6.425,39.999,5.572,1.913,,,122.818
1955,16.998,41.616,11.503,6.808,44.221,6.294,2.077,,,129.517
1956,17.469,42.171,13.931,7.363,52.255,6.648,2.402,,,142.239
1957,18.117,42.734,13.697,7.147,63.216,8.171,2.624,,,155.706
1958,18.701,43.307,13.991,7.184,63.071,10.249,3.024,,,159.527
1959,19.2,43.894,13.857,7.208,68.061,11.744,3.127,,,167.09
1960,19.599,43.619,13.727,7.729,69.552,12.76,3.312,,,170.299
1961,20.386,43.355,13.605,7.784,73.092,14.727,3.441,,,176.39
1962,20.911,43.099,13.494,7.933,77.857,16.231,3.748,,,183.273
1963,21.341,42.841,13.395,8.19,77.909,17.752,3.946,,,185.373
1964,22.276,42.575,13.304,8.413,81.192,19.301,4.336,,,191.397
1965,22.947,42.292,11.739,8.381,82.407,20.851,5.096,,,193.713
1966,23.579,41.993,11.752,8.989,89.92,21.329,5.67,,,203.232
1967,24.316,41.679,11.793,9.509,93.375,21.125,6.011,,,207.807
1968,25.095,41.352,11.857,9.508,101.273,22.402,6.461,,,217.948
1969,26.002,41.016,11.893,10.185,106.29,24.387,6.928,,,226.701
1970,26.719,40.674,11.943,10.126,110.799,24.684,8.494,,0.311,233.749
1971,27.39,40.325,11.991,9.884,117.292,25.345,9.607,,0.378,242.211
1972,28.005,39.969,12.054,9.93,127.546,27.11,10.849,,0.458,255.922
1973,28.689,39.605,12.144,10.531,138.245,30.715,11.993,,0.556,272.477
1974,29.921,39.231,12.253,11.763,146.982,32.51,13.453,0.304,0.674,287.092
1975,30.907,38.847,11.764,12.265,150.914,32.681,14.393,0.679,0.818,293.268
1976,31.726,38.453,11.319,12.475,160.824,35.836,16.12,0.695,0.993,308.44
1977,32.569,38.05,11.119,14.549,169.153,38.339,18.217,0.479,1.205,323.679
1978,33.617,37.64,10.955,13.872,183.784,42.037,20.358,0.847,1.462,344.571
1979,34.355,37.224,10.79,14.433,195.968,46.787,23.507,0.787,1.774,365.624
1980,35.748,36.803,10.621,15.43,205.656,49.397,25.804,0.683,2.166,382.308
1981,36.602,36.379,10.438,15.556,207.095,51.952,27.036,0.823,2.429,388.309
1982,37.195,35.95,10.245,15.488,206.987,56.385,29.758,0.55,3.373,395.928
1983,37.61,35.514,10.06,17.027,199.915,58.376,32.67,0.994,4.586,396.75
1984,38.254,35.071,9.883,19.335,201.957,61.293,36.706,1.839,6.558,410.896
1985,39.479,34.617,9.713,21.811,206.122,62.461,40.15,2.701,6.876,423.93
1986,40.288,34.154,9.54,21.949,217.791,63.075,43.756,1.728,6.1,438.38
1987,41.047,33.682,9.36,23.633,223.314,63.31,45.716,2.195,6.638,448.895
1988,41.942,33.204,9.176,23.369,229.516,67.061,47.888,1.89,6.823,460.869
1989,42.436,32.722,8.988,24.79,232.581,68.449,49.602,2.135,6.904,468.608
1990,42.917,33.335,8.803,20.329,252.081,71.921,50.013,3.673,6.1,489.172
1991,44.38,33.164,8.515,21.014,244.702,73.555,52.524,3.964,6.346,488.165
1992,45.41,33.517,8.38,21.87,255.809,75.367,54.901,3.765,6.201,505.22
1993,46.28,32.705,8.37,22.468,256.964,78.979,57.836,3.872,6.451,513.926
1994,47.558,32.877,8.651,22.999,276.303,82.815,60.152,3.698,6.879,541.933
1995,48.293,32.815,8.285,23.855,279.621,89.299,63.042,5.319,7.108,557.637
1996,49.37,32.932,8.581,25.054,285.155,96.12,65.619,5.24,7.398,575.47
1997,50.126,30.873,10.402,26.78,302.55,98.1,67.324,6.368,7.152,599.676
1998,50.957,32.111,10.087,26.501,315.794,104.39,67.841,5.892,7.023,620.596
1999,52.185,32.267,9.783,26.016,318.535,102.962,69.327,6.217,7.027,624.32
2000,53.555,33.247,9.49,26.971,326.526,109.357,70.668,6.027,6.107,641.948
2001,54.712,33.138,9.204,27.48,324.299,111.921,66.631,8.859,5.484,641.728
2002,55.282,33.813,8.927,31.766,320.328,116.543,70.05,8.662,6.171,651.543
2003,57.124,33.991,8.658,29.415,317.498,123.582,71.969,9.269,5.871,657.378
2004,58.067,34.833,8.4,30.794,328.574,136.52,75.705,8.443,6.529,687.865
2005,58.832,35.125,8.188,32.099,338.368,143.931,81.049,8.137,7.13,712.861
2006,60.007,35.306,7.949,36.206,345.33,155.935,83.617,9.555,6.769,740.673
2007,61.27,35.014,7.719,36.703,366.47,157.808,91.413,8.872,9.313,774.583
2008,62.671,35.608,7.497,37.307,377.613,161.777,98.314,9.212,12.469,802.469
2009,63.151,35.656,7.174,33.194,373.155,161.271,102.454,9.349,14.144,799.548
2010,64.512,36.483,6.961,40.726,389.379,170.512,108.211,8.152,15.892,840.83
2011,65.88,36.741,6.755,44.308,397.077,178.026,111.37,9.469,15.029,864.656
2012,66.303,36.438,6.556,44.081,415.152,190.146,111.28,9.184,14.727,893.867
2013,67.41,36.75,6.363,46.79,423.515,197.436,115.656,9.854,17.025,920.8
2014,69.359,35.049,6.176,48.411,420.291,202.769,123.464,9.077,18.818,933.414
2015,69.774,34.651,6.019,48.302,419.144,211.756,134.446,9.475,22.025,955.592
2016,70.484,35.796,5.855,47.195,405.904,213.603,138.8,9.832,20.524,947.992
2017,71.556,36.047,5.878,50.188,401.868,217.175,147.669,9.212,21.693,961.286
2018,72.619,36.406,5.936,47.727,393.967,212.621,160.194,9.02,24.63,963.119
2019,72.708,36.756,5.946,46.328,383.398,207.142,170.255,10.049,27.033,959.615
2020,73.383,37.1,6.001,37.599,337.085,191.854,171.449,10.394,26.167,891.033
